"Row Labels","Sum of vaccinated","Sum of Unvaccinated","Sum of coverage","Sum of vaccinated","Sum of Unvaccinated","Sum of coverage"
Nigeria,3362676,3499928,49,2882294,3980310,42
India,22095110,2185231,91,21366700,2913641,88
Pakistan,4235308,867473,83,3827086,1275695,75
Ethiopia,2686578,474102,85,2307296,853384,73
Indonesia,4614187,192258,96,3797092,1009353,79
"Democratic Republic of the Congo",2605278,571890,82,2573506,603662,81
Angola,707948,452623,61,603497,557074,52
Iraq,888294,328547,73,766610,450231,63
"South Africa",839358,294909,74,748616,385651,66
Afghanistan,796318,294529,73,709051,381796,65
Somalia,307815,284136,52,248619,343332,42
Chad,322572,263922,55,240463,346031,41
"South Sudan",146089,271308,35,108523,308874,26
Philippines,2103583,259993,89,2079947,283629,88
Yemen,637704,201380,76,570577,268507,68
Mali,532944,197116,73,481840,248220,66
Guinea,269963,158549,63,192830,235682,45
Ukraine,300828,161984,65,231406,231406,50
Madagascar,654226,163557,80,605159,212624,74
Kenya,1379363,103823,93,1216213,266973,82
"Syrian Arab Republic",246193,144590,63,187576,203207,48
Brazil,2844173,28729,99,2556883,316019,89
Uganda,1606341,84544,95,1437252,253633,85
China,16192442,163560,99,16192442,163560,99
"United States of America",3940942,121885,97,3859686,203141,95
Mozambique,965638,107293,90,858345,214586,80
Egypt,2333768,122830,95,2309202,147396,94
Niger,903545,68009,93,786959,184595,81
Argentina,675334,66791,91,638228,103897,86
Cameroon,753678,56728,93,696949,113457,86
Peru,539202,59911,90,497264,101849,83
Myanmar,846863,54055,94,801817,99101,89
Haiti,197874,52600,79,150284,100190,60
"Papua New Guinea",148491,66713,69,133426,81778,62
"Côte d’Ivoire",828487,8369,99,702959,133897,84
"Central African Republic",105257,47289,69,71697,80849,47
Algeria,850822,44780,95,814998,80604,91
"Venezuela (Bolivarian Republic of)",562095,29584,95,497010,94669,84
Guatemala,362732,49464,88,338001,74195,82
"Viet Nam",1513028,30878,98,1451272,92634,94
Benin,330730,53840,86,315347,69223,82
Malawi,594530,44750,93,562566,76714,88
Bangladesh,2953146,29830,99,2893487,89489,97
"Russian Federation",1740057,53816,97,1740057,53816,97
Colombia,677311,43233,94,662900,57644,92
"Burkina Faso",663147,34902,95,635225,62824,91
Congo,129381,43127,75,119031,53477,69
Mexico,2241044,22637,99,2195771,67910,97
Sudan,1237874,25263,98,1199980,63157,95
Zimbabwe,480807,30690,94,455232,56265,89
Nepal,528519,27817,95,500702,55634,90
"United Republic of Tanzania",2061849,20827,99,2020196,62480,97
Turkey,1245787,25424,98,1220363,50848,96
Zambia,586808,30885,95,580631,37062,94
Ecuador,307918,16206,95,275505,48619,85
"United Kingdom of Great Britain and Northern Ireland",787442,16070,98,755301,48211,94
Burundi,398044,25407,94,385340,38111,91
"Bolivia (Plurinational State of)",222904,22046,91,205758,39192,84
Senegal,518882,16048,97,497485,37445,93
"Equatorial Guinea",17593,22392,44,9996,29989,25
Canada,371100,15463,96,351772,34791,91
Romania,173503,13059,93,152981,33581,82
Cambodia,336456,21476,94,332877,25055,93
Togo,228729,19890,92,223757,24862,90
Germany,715739,7230,99,686821,36148,95
Mauritania,124223,15353,89,113057,26519,81
"Lao People’s Democratic Republic",137226,16961,89,131059,23128,85
Italy,474379,9681,98,455016,29044,94
France,751231,7588,99,728466,30353,96
"Dominican Republic",206634,2087,99,175326,33395,84
Lebanon,73651,16167,82,70956,18862,79
"Sierra Leone",234865,4793,98,215692,23966,90
"Iran (Islamic Republic of)",1261141,12739,99,1261141,12739,99
Gabon,45490,10670,81,42120,14040,75
"El Salvador",109777,5778,95,98222,17333,85
Liberia,151876,1534,99,131933,21477,86
Australia,306709,6259,98,297320,15648,95
Chile,230912,4713,98,219131,16494,93
Japan,1020774,10311,99,1020774,10311,99
Kyrgyzstan,136861,8736,94,133949,11648,92
Timor-Leste,34648,8662,80,32916,10394,76
"Saudi Arabia",616581,6228,99,610353,12456,98
"Republic of Korea",441273,9006,98,441273,9006,98
Paraguay,130590,6873,95,126466,10997,92
Panama,74569,3107,96,62918,14758,81
"Democratic People’s Republic of Korea",339703,6933,98,336237,10399,97
Ghana,835665,8441,99,835665,8441,99
Spain,390209,7963,98,390209,7963,98
Tajikistan,238491,4867,98,233624,9734,96
Netherlands,176150,3595,98,168960,10785,94
Thailand,682928,6898,99,682928,6898,99
Morocco,673302,6801,99,673302,6801,99
Austria,79401,5068,94,76022,8447,90
Azerbaijan,158801,4911,97,155526,8186,95
Uzbekistan,628877,6352,99,628877,6352,99
Namibia,66186,4225,94,61962,8449,88
Eritrea,150168,4644,97,147071,7741,95
Djibouti,15224,5349,74,13990,6583,68
Gambia,72766,5477,93,71984,6259,92
Guinea-Bissau,59138,3113,95,54158,8093,87
Rwanda,354430,3580,99,350850,7160,98
Malaysia,528460,5338,99,528460,5338,99
"Bosnia and Herzegovina",29689,2582,92,24203,8068,75
Poland,344583,3481,99,341103,6961,98
"Republic of Moldova",36729,3633,91,35519,4843,88
Bulgaria,62513,2605,96,59909,5209,92
Finland,58457,1193,98,53089,6561,89
Honduras,191860,1938,99,187984,5814,97
Kazakhstan,364691,3684,99,364691,3684,99
"New Zealand",58490,3078,95,57874,3694,94
Belarus,108550,3357,97,108550,3357,97
Czechia,105282,2149,98,103134,4297,96
Serbia,90101,1839,98,87343,4597,95
"Sri Lanka",307827,3109,99,307827,3109,99
Tunisia,200406,2024,99,198381,4049,98
Libya,119027,1202,99,115420,4809,96
Georgia,50417,1029,98,46816,4630,91
Jamaica,44507,2342,95,43570,3279,93
"United Arab Emirates",85693,2650,97,85693,2650,97
Lesotho,57222,1168,98,54303,4087,93
Eswatini,35640,1485,96,33412,3713,90
Israel,163500,1652,99,161849,3303,98
Jordan,240813,2432,99,240813,2432,99
Sweden,119771,1210,99,117352,3629,97
Ireland,64066,1307,98,62104,3269,95
Switzerland,85944,1754,98,85067,2631,97
Belgium,128377,1297,99,127081,2593,98
Uruguay,46182,1428,97,45230,2380,95
Croatia,37131,758,98,34858,3031,92
Botswana,50510,1031,98,48964,2577,95
Nicaragua,115628,1168,99,114460,2336,98
"Costa Rica",67704,684,99,65652,2736,96
Armenia,36685,1135,97,35551,2269,94
Comoros,23943,998,96,22696,2245,91
Norway,62544,632,99,60649,2527,96
"State of Palestine",150437,1520,99,150437,1520,99
Singapore,48706,994,98,47712,1988,96
Suriname,8976,997,90,8078,1895,81
Slovakia,55657,562,99,53970,2249,96
"The former Yugoslav Republic of Macedonia",22520,696,97,21127,2089,91
Lithuania,29805,922,97,28883,1844,94
Turkmenistan,133748,1351,99,133748,1351,99
"Trinidad and Tobago",16993,708,96,15754,1947,89
Cuba,121494,1227,99,121494,1227,99
Portugal,77718,785,99,76933,1570,98
Samoa,3943,751,84,3474,1220,74
Belize,7359,910,89,7277,992,88
Denmark,59829,604,99,59224,1209,98
Estonia,13064,834,94,12925,973,93
Greece,87912,888,99,87912,888,99
Hungary,86066,869,99,86066,869,99
Slovenia,20470,418,98,19635,1253,94
Vanuatu,6281,621,91,5867,1035,85
Oman,79670,805,99,79670,805,99
Mongolia,68689,694,99,68689,694,99
Mauritius,12680,528,96,12416,792,94
Qatar,25415,519,98,25156,778,97
Kuwait,63906,646,99,63906,646,99
Montenegro,6685,352,95,6122,915,87
"Solomon Islands",16644,168,99,15803,1009,94
Bahrain,21262,434,98,21045,651,97
Guyana,14887,460,97,14887,460,97
Tonga,2158,351,86,2032,477,81
Latvia,19051,389,98,19051,389,98
"Cabo Verde",10744,332,97,10633,443,96
"Micronesia (Federated States of )",2362,73,97,1778,657,73
Albania,33615,340,99,33615,340,99
Barbados,3012,335,90,3012,335,90
"Saint Lucia",1889,234,89,1698,425,80
Cyprus,12303,251,98,12177,377,97
Iceland,4285,133,97,3932,486,89
"Sao Tome and Principe",6276,262,96,6211,327,95
Bahamas,5425,111,98,5204,332,94
Kiribati,2981,124,96,2794,311,90
Bhutan,13943,141,99,13802,282,98
Fiji,16837,170,99,16837,170,99
"Marshall Islands",993,30.81317138700001,97,819,204.813171387,80
Malta,4173,85,98,4173,85,98
Maldives,7536,76,99,7536,76,99
"Antigua and Barbuda",1564,65,96,1548,81,95
Dominica,1184,23.818908690999933,98,1099,108.81890869099993,91
Luxembourg,6532,66,99,6532,66,99
"Brunei Darussalam",6564,66,99,6564,66,99
Grenada,1924,39,98,1884,79,96
Seychelles,1444,29,98,1429,44,97
"San Marino",233,32.00657653809998,88,228,37.00657653809998,86
"Saint Kitts and Nevis",895,9.250762939499964,99,877,27.250762939499964,97
"Saint Vincent and The Grenadines",1635,17,99,1635,17,99
Nauru,217,1.8998794556000007,99,190,28.8998794556,87
Palau,415,3.740676879899979,99,406,12.74067687989998,97
Andorra,620,6.149505615200042,99,620,6.149505615200042,99
Tuvalu,214,2.550971984900002,99,208,8.550971984900002,96
Monaco,445,4.075332641600028,99,445,4.075332641600028,99
"Cook Islands",333,3.280914306599982,99,333,3.280914306599982,99
Niue,31,0.3062438964800016,99,31,0.3062438964800016,99
"Grand Total",122492787,13665092.892944336,18088,116245259,19912620.892944336,17197
,,,,,,
,,,,,,
,,,,,,
,,,,136157879.89294434,0.14624655516523066,0.8537534448347693
